,광역시도,시군,pop,moon,hong,ahn
169,전라북도,정읍시,73678,"45,894(62.61)","2,175(2.96)","20,111(27.43)"
170,전라북도,남원시,55371,"35,539(64.51)","1,939(3.52)","13,854(25.15)"
171,전라북도,김제시,57886,"35,870(62.32)","2,052(3.56)","15,880(27.59)"
172,전라북도,완주군,62470,"41,057(65.97)","2,107(3.38)","13,897(22.33)"
173,전라북도,진안군,18107,"11,918(66.17)",819(4.54),"3,904(21.67)"
174,전라북도,무주군,17019,"10,381(61.36)","1,225(7.24)","3,998(23.63)"
175,전라북도,장수군,16079,"10,714(67.06)",717(4.48),"3,353(20.98)"
176,전라북도,임실군,20381,"12,893(63.74)",771(3.81),"5,009(24.76)"
177,전라북도,순창군,20126,"12,309(61.52)",688(3.43),"5,624(28.10)"
178,전라북도,고창군,39188,"23,877(61.38)","1,215(3.12)","11,182(28.74)"
179,전라북도,부안군,36647,"22,482(61.72)","1,507(4.13)","9,837(27.00)"
180,전라남도,목포시,145476,"77,896(53.73)","2,584(1.78)","53,303(36.77)"
181,전라남도,여수시,185487,"117,586(63.63)","4,281(2.31)","50,228(27.18)"
182,전라남도,순천시,181451,"122,595(67.81)","4,525(2.50)","40,429(22.36)"
183,전라남도,나주시,71599,"43,967(61.76)","1,448(2.03)","21,011(29.51)"
184,전라남도,광양시,96384,"63,544(66.15)","4,100(4.26)","20,080(20.90)"
185,전라남도,담양군,33020,"19,961(60.80)",698(2.12),"10,017(30.51)"
186,전라남도,장성군,30670,"17,378(56.93)",851(2.78),"10,167(33.31)"
187,전라남도,곡성군,21247,"12,152(57.73)",624(2.96),"6,850(32.54)"
188,전라남도,구례군,18924,"11,873(63.11)",628(3.33),"5,188(27.57)"
189,전라남도,고흥군,47036,"26,882(57.66)","1,349(2.89)","15,614(33.49)"
190,전라남도,보성군,29967,"16,666(55.96)",732(2.45),"10,514(35.30)"
191,전라남도,화순군,43572,"25,867(59.68)",770(1.77),"13,832(31.91)"
192,전라남도,장흥군,27149,"14,821(54.91)",636(2.35),"9,593(35.54)"
193,전라남도,강진군,25175,"12,476(49.89)",753(3.01),"10,152(40.59)"
194,전라남도,완도군,34886,"20,945(60.54)",762(2.20),"11,021(31.85)"
195,전라남도,해남군,48351,"25,901(53.94)","1,158(2.41)","18,157(37.81)"
196,전라남도,진도군,21189,"10,392(49.46)",511(2.43),"8,855(42.14)"
197,전라남도,영암군,36402,"18,999(52.52)",825(2.28),"13,610(37.62)"
198,전라남도,무안군,52516,"29,516(56.48)",983(1.88),"18,052(34.54)"
199,전라남도,영광군,35919,"20,595(57.66)",819(2.29),"11,675(32.68)"
200,전라남도,함평군,23368,"13,539(58.35)",471(2.03),"7,831(33.75)"
201,전라남도,신안군,28950,"14,370(49.98)",713(2.48),"12,000(41.74)"
202,경상북도,포항시북구,171444,"38,629(22.63)","77,138(45.19)","26,901(15.76)"
203,경상북도,포항시남구,150740,"34,808(23.21)","66,319(44.23)","24,728(16.49)"
204,경상북도,울릉군,6810,"1,443(21.33)","3,520(52.03)",973(14.38)
205,경상북도,경주시,167296,"38,092(22.89)","80,090(48.14)","23,898(14.36)"
206,경상북도,김천시,92184,"22,255(24.30)","43,998(48.04)","12,803(13.98)"
207,경상북도,안동시,107357,"23,121(21.68)","52,978(49.68)","15,461(14.49)"
208,경상북도,구미시,246638,"62,573(25.50)","98,732(40.24)","41,141(16.77)"
209,경상북도,영주시,70861,"15,280(21.70)","34,504(49.01)","10,444(14.83)"
210,경상북도,영천시,66091,"12,250(18.67)","35,328(53.86)","9,175(13.98)"
211,경상북도,상주시,67717,"12,356(18.36)","38,171(56.73)","9,392(13.96)"
212,경상북도,문경시,49113,"8,616(17.65)","27,832(57.03)","6,905(14.15)"
213,경상북도,예천군,32124,"5,261(16.52)","18,863(59.23)","4,427(13.90)"
214,경상북도,경산시,160794,"35,602(22.26)","72,129(45.11)","24,606(15.39)"
215,경상북도,청도군,30398,"5,323(17.65)","17,678(58.61)","3,654(12.11)"
216,경상북도,고령군,22396,"3,754(16.90)","13,248(59.65)","2,600(11.70)"
217,경상북도,성주군,30070,"5,409(18.10)","16,788(56.20)","3,586(12.00)"
218,경상북도,칠곡군,72006,"16,872(23.56)","31,540(44.04)","11,340(15.83)"
219,경상북도,군위군,17627,"2,251(12.83)","11,651(66.43)","1,939(11.05)"
220,경상북도,의성군,37855,"5,365(14.27)","23,790(63.30)","4,767(12.68)"
221,경상북도,청송군,18418,"3,218(17.58)","10,669(58.29)","2,387(13.04)"
222,경상북도,영양군,12048,"2,281(19.08)","6,554(54.84)","1,701(14.23)"
223,경상북도,영덕군,26125,"3,786(14.61)","16,314(62.96)","3,231(12.47)"
224,경상북도,봉화군,22947,"4,209(18.47)","12,536(55.02)","3,370(14.79)"
225,경상북도,울진군,32568,"6,972(21.55)","16,867(52.14)","4,476(13.83)"
